t0	JL257_ITS1f
t1	JL221
t2	JL201_ITS1f
t3	ref|NR_073265.1|__organism_Rhodotorula_paludigena_strain_CBS_6566_culture_collection_CBS:6566_note_ex-type_culture_of_Rhodosporidium_paludigenum_type_material_culture_from_type_material_of_Rhodotorul.
t4	ref|NR_073267.1|__organism_Leucosporidium_scottii_strain_CBS_5930_culture_collection_CBS:5930_note_ex-type_culture_of_Leucosporidium_scottii_type_material_culture_from_type_material_of_Leucosporidium.
t5	ref|NR_073269.1|__organism_Rhodotorula_sphaerocarpa_strain_CBS_5939_culture_collection_CBS:5939_note_ex-type_culture_of_Rhodosporidium_sphaerocarpum_type_material_culture_from_type_material_of_Rhodot.
t6	ref|NR_073271.1|__organism_Rhodotorula_diobovata_strain_CBS_6085_culture_collection_CBS:6085_note_ex-type_culture_of_Rhodosporidium_diobovatum_gb_synonym_Rhodosporidium_diobovatum_type_material_cultu.
t7	ref|NR_073273.1|__organism_Rhodotorula_graminis_strain_CBS_2826_culture_collection_CBS:2826_note_ex-type_culture_of_Rhodotorula_graminis_type_material_culture_from_type_material_of_Rhodotorula_gramin.
t8	NR_119614.1_Mixia_osmundae_JCM_22182_ITS_region_from_reference_material
t9	MK050352.1_Kondoa_cylindrica_strain_CGMCC2.3103_18S_small_subunit_ribosomal_RNA_gene_partial_sequence_internal_transcribed_spacer_1_5.8S_ribosomal_RNA_gene_and_internal_transcribed_spacer_2_complete_e
t10	MK050354.1_Kondoa_chamaenerii_strain_CGMCC2.2652_18S_small_subunit_ribosomal_RNA_gene_partial_sequence_internal_transcribed_spacer_1_5.8S_ribosomal_RNA_gene_and_internal_transcribed_spacer_2_completee
t11	MK050356.1_Kondoa_foliicola_strain_CGMCC2.3100_18S_small_subunit_ribosomal_RNA_gene_partial_sequence_internal_transcribed_spacer_1_5.8S_ribosomal_RNA_gene_and_internal_transcribed_spacer_2_complete_se
t12	MK050358.1_Kondoa_arboricola_strain_CGMCC2.4886_18S_small_subunit_ribosomal_RNA_gene_partial_sequence_internal_transcribed_spacer_1_5.8S_ribosomal_RNA_gene_and_internal_transcribed_spacer_2_complete_e
t13	MK050359.1_Kondoa_lulangica_strain_CGMCC2.2762_18S_small_subunit_ribosomal_RNA_gene_partial_sequence_internal_transcribed_spacer_1_5.8S_ribosomal_RNA_gene_and_internal_transcribed_spacer_2_complete_se
t14	MK050360.1_Kondoa_rhododendri_strain_CGMCC2.2763_18S_small_subunit_ribosomal_RNA_gene_partial_sequence_internal_transcribed_spacer_1_5.8S_ribosomal_RNA_gene_and_internal_transcribed_spacer_2_completee
t15	MK050362.1_Kondoa_daliangziensis_strain_HLJ14.20B_18S_small_subunit_ribosomal_RNA_gene_partial_sequence_internal_transcribed_spacer_1_5.8S_ribosomal_RNA_gene_and_internal_transcribed_spacer_2_complete
t16	MK050364.1_Kondoa_ribitophobia_strain_CGMCC2.4875_18S_small_subunit_ribosomal_RNA_gene_partial_sequence_internal_transcribed_spacer_1_5.8S_ribosomal_RNA_gene_and_internal_transcribed_spacer_2_complete
t17	MK050365.1_Kondoa_myxariophila_strain_CGMCC2.3106_18S_small_subunit_ribosomal_RNA_gene_partial_sequence_internal_transcribed_spacer_1_5.8S_ribosomal_RNA_gene_and_internal_transcribed_spacer_2_complete
t18	AF444596.1_Kondoa_myxariophila_18S_ribosomal_RNA_gene_partial_sequence_internal_transcribed_spacer_1_5.8S_ribosomal_RNA_gene_and_internal_transcribed_spacer_2_complete_sequence_and_28S_ribosomal_RNA_e
t19	MK050366.1_Bensingtonia_wuzhishanensis_strain_CGMCC2.3569_18S_small_subunit_ribosomal_RNA_gene_partial_sequence_internal_transcribed_spacer_1_5.8S_ribosomal_RNA_gene_and_internal_transcribed_spacer_2e
t20	MK050367.1_Bensingtonia_pseudorectispora_strain_CGMCC2.5677_18S_small_subunit_ribosomal_RNA_gene_partial_sequence_internal_transcribed_spacer_1_5.8S_ribosomal_RNA_gene_and_internal_transcribed_spacere
t21	MK050368.1_Pseudobensingtonia_fusiformis_strain_XZ152E3_18S_small_subunit_ribosomal_RNA_gene_partial_sequence_internal_transcribed_spacer_1_5.8S_ribosomal_RNA_gene_and_internal_transcribed_spacer_2_ce
t22	MK050371.1_Boekhoutia_sterigmata_strain_CGMCC2.4539_18S_small_subunit_ribosomal_RNA_gene_partial_sequence_internal_transcribed_spacer_1_5.8S_ribosomal_RNA_gene_and_internal_transcribed_spacer_2_comple
t23	MK050372.1_Ruinenia_fanjingshanensis_strain_CGMCC2.4542_18S_small_subunit_ribosomal_RNA_gene_partial_sequence_internal_transcribed_spacer_1_5.8S_ribosomal_RNA_gene_and_internal_transcribed_spacer_2_ce
t24	MN194597.1_Ruinenia_bangxiensis_strain_strain_ST-153_small_subunit_ribosomal_RNA_gene_partial_sequence_internal_transcribed_spacer_1_5.8S_ribosomal_RNA_gene_and_internal_transcribed_spacer_2_completee
