	CYTB	RPB1	RPB2	TEF1	ITS1	5_8S	ITS2	LSU	SSU
Rhodosporidiobolus microsporus CBS7041/JCM6882	KJ707724	KJ708054	KJ708284	KJ707817	AF444535	AF444535	AF444535	AF070436	KJ708441
Sporobolomyces blumeae CBS9094/JCM10212	KJ707673		KJ708293	KJ707926	AB030331	AB030331	AB030331		AB030321
Rhodosporidiobolus fluvialis CBS6568/JCM10311	KJ707679	KJ708046	KJ708204	KJ707816	AY015432	AY015432	AY015432	AF070422	
Sporobolomyces beijingensis CGMCCAS2.2365/AS2.2365/CGMCC2.2365/CB80	KJ707588	KJ708116	KJ708291	KJ707919	AY364837	AY364837	AY364837		KJ708407
Rhodosporidiobolus azoricus CBS8949	KJ707660	KJ708049	KJ708201	KJ707814	KY104692	KY104692	KY104692		KY104692
Sporobolomyces phaffii CGMCCAS2.2137/AS2.2137/CBS9129/CGMCC2.2137	KJ707577	KJ708113	KJ708327	KJ707918	AY069995	AY069995	AY069995	KY109760	KJ708404
Sporobolomyces bannaensis CGMCCAS2.2285/AS2.2285/CBS9204	KJ707581	KJ708120	KJ708290	KJ707934	AY274824	AY274824	AY274824	AY274823	KJ708405
Sporobolomyces jilinensis AS2.2301/CGMCCAS2.2301/CBS9728/CGMCC2.2301/CB118	KJ707583	KJ708111	KJ708308	KJ707913	AY364838	AY364838	AY364838	KY109746	KJ708450
Sporobolomyces carnicolor CBS4215/JCM3766	KJ707707	KJ708117	KJ708294	KJ707912	AY069991	AY069991	AY069991	KY109743	
Sporidiobolus metaroseus CBS7683	KJ707644	KJ708068	KJ708283	KJ707841	EU003482	EU003482	EU003482	KY109696	KJ708415
Sporobolomyces japonicus AS2.2192/CBS5744	KJ707578	KJ708123	KJ708307	KJ707932	KY105510	KY105510	KY105510	KY109745	KY105510
Sporobolomyces salmoneus CGMCCAS2.2195/AS2.2195	KJ707580	KJ708107	KJ708334	KJ707920	KY105530	KY105530	KY105530		KJ708401
Rhodosporidiobolus ruineniae CBS5001/JCM1839	KJ707700		KJ708286	KJ707820	AY015433	AY015433	AY015433	KY108979	AB021696
Sporobolomyces koalae CBS10914/JCM15063	KJ707604	KJ708063	KJ708311	KJ707850	EU276008	EU276008	EU276008	KY109756	KP216519
Rhodosporidiobolus colostri CBS348	KJ707622	KJ708051	KJ708220	KJ707818	KY104695	KY104695	KY104695	AY372177	KJ708399
Rhodosporidiobolus lusitaniae CBS7604/JCM8547	KJ707737	KJ708047		KJ707812	AY015430	AY015430	AY015430	AF070423	
Rhodotorula diobovata CBS6085/JCM3787	KJ707708	KJ708091	KJ708277	KJ707865	AF444502	AF444502	AF444502	AF070421	
Rhodosporidiobolus poonsookiae CBS9095/JCM10207	KJ707672	KJ708048	KJ708329	KJ707821	AB030327	AB030327	AB030327	KY108972	AB030320
Rhodotorula taiwanensis CBS11729	KJ707611	KJ708066	KJ708271	KJ707838	KY104910	KY104910	KY104910	KY109163	KJ708409
Rhodotorula pacifica CBS10070	KJ707595	KJ708087	KJ708252	KJ707860	AB026006	AB026006	AB026006		KJ708397
Sporobolomyces patagonicus CBS9657/PYCC5817/CRUB1038	KP216520	KJ708110	KJ708325	KJ707928	AY552328	AY552328	AY552328	AY158655	KJ708421
Chrysozyma fushanensis JCM12422	KJ707698	KJ708142	KJ708303	KJ707944	KP216522	KP216522	KP216522		
Leucosporidium intermedium CBS7226/JCM5291	KJ707711	KJ708132	KJ708188	KJ707785	AF444564	AF444564	AF444564	AF189889	
Rhodotorula dairenensis CBS4406	KJ707625		KJ708276	KJ707866	KY104735	KY104735	KY104735	KY108996	KJ708411
Reniforma strues CBS8263	KJ707648	KJ708122	KJ708200	KJ707927	AF444573	AF444573	AF444573	AF189912	KP216517
Leucosporidium creatinivorum CBS8620	KJ707658	KJ708036	KJ708178	KJ707789	AF444629	AF444629	AF444629	AF189925	
Curvibasidium cygneicollum CBS4551	KJ707626	KJ708003	KJ708166		AF444490	AF444490	AF444490	AF189928	
Rhodotorula alborubescens CBS482/JCM5352	KJ707714	KJ708089	KJ708289	KJ707864	AB030342	AB030342	AB030342	AF207886	KJ708440
Leucosporidium yakuticum CBS8621	KJ707659		KJ708181		KY104016	KY104016	KY104016	KY108281	KJ708419
Leucosporidium scottii CBS5930	KF423303	KF036499	KF036913	KF037176	AF444495	AF444495	AF444495	AF070419	KF036682
Curvibasidium pallidicorallinum CBS9091	KJ707665	KJ708000	KJ708167	KJ707767	KY102982	KY102982	KY102982	KY107299	
Phenoliferia psychrophila CBS10440	KJ707599		KJ708260	KJ707833	KY104504	KY104504	KY104504	KY108775	KJ708383
Spencerozyma crocea CBS2029	KJ707618	KJ708007	KJ708223	KP216513	FM957565	FM957565	FM957565	AY372179	KJ708410
Fellozyma inositophila CBS7310/JCM5654/NRRL Y-17293	KJ707718	KJ708136	KJ708306	KJ707951	AF444559	AF444559	AF444559	KY107699	AB021673
Slooffia tsugae CBS5038/JCM2960	KJ707628		KJ708340	KJ707945	KY105429	KY105429	KY105429	AF189998	AB021692
Oberwinklerozyma straminea CBS10976	KJ707606	KJ708065	KJ708269	KJ707844	KY104387	KY104387	KY104387		KJ708367
Colacogloea falcata CBS7368/JCM6838	KJ707723	KJ708124	KJ708301	KJ707943	AF444543	AF444543	AF444543	AF075490	AB021670
Phenoliferia psychrophenolica CBS10438/AG21	KJ707598	KJ708071	KJ708259	KJ707859	EF151246	EF151246	EF151246	KY108774	KJ708382
Leucosporidium fellii CBS7287/JCM9887	KJ707748	KJ708030	KJ708184	KJ707784	AF444508	AF444508	AF444508	AF189907	KJ708449
Bannozyma arctica CBS9278/JCM13290	KJ707666	KJ708070	KJ708210	KJ707856	KY101705	KY101705	KY101705	AB478858	KJ708371
Yamadamyces rosulatus CBS10977	KJ707607	KJ708083	KJ708263	KJ707854	KY105937	KY105937	KY105937	KY110152	KJ708384
Rhodosporidiobolus nylandii CBS9093/JCM10213	KJ707674		KJ708321	KJ707822	KY104699	KY104699	KY104699	KY108966	AB030319
Oberwinklerozyma silvestris CBS11420	KJ707610	KJ708069	KJ708264	KJ707849	KY104386	KY104386	KY104386		KJ708366
Hamamotoa singularis JCM5356	KJ707716	KJ708140	KJ708336	KJ707957	KY103496	KY103496	KY103496		AB021690
Hamamotoa lignophila CBS7109/JCM9033	KJ707637	KJ708138	KJ708242	KJ707953	AF444513	AF444513	AF444513	KY107776	
Colacogloea terpenoidalis CBS8445	KJ707650	KJ707999	KJ708272	KJ707774	AF444623	AF444623	AF444623	KY106948	KJ708374
Chrysozyma griseoflava CBS7284/JCM5653/AFTOL-ID1938	KJ707717	KJ708143	KJ708305	KJ707950	AF444557	AF444557	AF444557	EF537895	D66884
Colacogloea cycloclastica CBS8448	KJ707652	KJ707997	KJ708224	KJ707775	AF444631	AF444631	AF444631	AF444732	KJ708376
Colacogloea retinophila CBS8446	KJ707651	KJ707994	KJ708262	KJ707771	KY102578	KY102578	KY102578	KY106947	KJ708373
Colacogloea eucalyptica ATCCMYA-4815/CBS8499	KJ707655	KJ708061	KJ708227	KJ707839	JN882334	JN882334	JN882334	EU075183	KJ708377
Colacogloea subericola CBS10442/CECT11976/Y31	KJ707600		KJ708270	KJ707835	DQ870625	DQ870625	DQ870625	AY296052	
Colacogloea philyla CBS6272/JCM3933	KJ707631	KJ707996	KJ708255	KJ707772	AF444506	AF444506	AF444506	KY106946	KJ708438
Sporidiobolus salmonicolor CBS490putative/CBS490/JCM1841/ML3151	KJ707627	KF706507	KJ708287	KJ707923	AY015434	AY015434	AY015434	AF070439	AB021697
Ustilentyloma graminis CBS6403/JCM3932/AFTOL-ID674	AB040629	DQ832197	DQ234555	KJ707802	AF444524	AF444524	AF444524	AF189933	AY657013
Oberwinklerozyma yarrowii CBS7417	KJ707735		KJ708275	KJ707938	AF444628	AF444628	AF444628	KY108666	
Sampaiozyma vanillica CBS7404/JCM9741	KJ707747	KJ708005	KJ708273	KJ707809	AF444575	AF444575	AF444575	KY109537	KJ708448
Rhodotorula sphaerocarpa CBS5939	KJ707734	KJ708086	KJ708207	KJ707867	AF444499	AF444499	AF444499	KY109155	
Meredithblackwellia eburnea CBS12589/NRRLY-48821/MCA4105	Mereb1_mito_scaffold_1:479-907	Mereb1_scaffold_12:448757-456067	Mereb1_scaffold_16:66025-71451	Mereb1_scaffold_13:16534-19647	JX508799	JX508799	JX508799	KY108448	JX508797
Phenoliferia glacialis CBS10436	KJ707597	KJ708067	KJ708233	KJ707831	KY104503	KY104503	KY104503	KY108773	KJ708381
Slooffia pilatii CBS7039/JCM9036	AB040641	KJ708137	KJ708256	KJ707947	AF444598	AF444598	AF444598	AF189963	KJ708364
Glaciozyma antarctica CBS5942/JCM9057	KJ707745	KJ708131	KJ708182		AF444529	AF444529	AF444529	AF189906	
Pseudohyphozyma pustula CBS6527/JCM3934	AB040642	KJ708128	KJ708261	KJ707937	AF444531	AF444531	AF444531	KY108953	KJ708361
Rhodotorula kratochvilovae CBS7436	KJ707733	KJ708095	KJ708205	KJ707863	AF444520	AF444520	AF444520	AF071436	
Sampaiozyma ingeniosa CBS4240/JCM9031	AB040631	KJ708004	KJ708237	KJ707803	AF444534	AF444534	AF444534	KY109535	KJ708445
Rhodotorula graminis CBS2826/JCM3775	AB040628	KJ708093	KJ708234	KJ707868	AF444505	AF444505	AF444505	AF070431	X83827
Trigonosporomyces hylophilus CBS6226	AB040630	KJ708008	KJ708236	KJ707764	KY105766	KY105766	KY105766	KY109977	KY105766
Pseudohyphozyma buffonii CBS7150	AB040620	KJ708127	KJ708217	KJ707946	KY104681	KY104681	KY104681	KY108951	
Sporobolomyces johnsonii AS2.1927/CBS5470/JCM1840	KJ707564	KJ708105		KJ707931	AY015431	AY015431	AY015431	AF070435	
Rhodosporidiobolus odoratus CBS9115	KJ707694	KJ708045	KJ708322	KJ707819	KY104702	KY104702	KY104702	KY108968	
Yunzhangia auriculariae CBS6379/JCM1597	AB040617	KJ708134	KJ708213	KJ707935	AF444507	AF444507	AF444507	KY110214	KJ708429
Pseudohyphozyma bogoriensis CBS4101/JCM1692	JALBUQ010000302.1:7236-7660	KJ708130	KJ708216	KJ707949	AF444536	AF444536	AF444536	KY108949	
Sporobolomyces roseus CBS486	KJ707569	KJ708119	KJ708331	HM014022	KY105523	KY105523	KY105523	KY109761	
Yunzhangia sonckii CBS6713/JCM3935	AB040643	KJ708118	KJ708267	KJ707911	AF444601	AF444601	AF444601	AF189969	KJ708439
Sporobolomyces lactucae HU9203	MG589041			MG589082	MG470912	MG470912	MG470912		
Rosettozyma petaloides CGMCC2.3446/WZS29.14/WZS9.2	MK848904	MK849174	MK849303	MK849034	MK050395	MK050395	MK050395		MK050395
Rosettozyma cystopteridis CGMCC2.2615/XZ16E1	MK848876	MK849131	MK849272	MK849002	MK050398	MK050398	MK050398		MK050398
Rosettozyma motuoensis CGMCC2.5819/XZ118E6	MK848991	MK849260	MK849397		MK050400	MK050400	MK050400		MK050400
Rhodosporidiobolus platycladi CGMCC2.3118/BJ6-3	MK848895	MK849153	MK849293	MK849023	MK050401	MK050401	MK050401		MK050401
Rhodosporidiobolus jianfalingensis CGMCC2.3532/JF25.7-1/JF25.7-2	MK848916	MK849178	MK849316	MK849047	MK050402	MK050402	MK050402		MK050402
Rhodosporidiobolus fuzhouensis CGMCC2.4435/FJYZ2-6	MK848936	MK849201	MK849340	MK849067	MK050404	MK050404	MK050404		MK050404
