	5_8S	LSU	RPB1	TEF1	SSU	RPB2	CYTB
Colacogloea_subericola	166	595.0					
Sporobolomyces_ruberrimus	166	591.0	695.0	593.0			
Glaciozyma_watsonii	166	585.0					
Pseudosterigmatospora_motuoensis	163		628.0	1004.0	1797.0	1033.0	371.0
Microbotryum_adenopetalae	166	596.0					
Rhodotorula_evergladensis	166	591.0		876.0	1063.0	1065.0	
Meniscomyces_layueensis	165		644.0	965.0	1797.0	984.0	434.0
Colacogloea_retinophila	166	894.0	695.0	1031.0	1612.0	1068.0	389.0
Rhodosporidiobolus_nylandii	166	894.0		957.0	1726.0	972.0	383.0
Glaciozyma_antarctica	166	591.0	647.0			1065.0	417.0
Udeniozyma_ferulica	166	894.0	695.0	992.0	1626.0	678.0	
Camptobasidium_arcticum	166	572.0		524.0	1709.0	903.0	370.0
Meredithblackwellia_eburnea	166	894.0	698.0	1151.0	1613.0	1107.0	426.0
Leucosporidium_golubevii	166	576.0	695.0	1031.0	1736.0	1065.0	
Yamadamyces_rosulatus	166	894.0	364.0	994.0	1772.0	975.0	428.0
Sporobolomyces_primogenomicus	166		698.0	1007.0	1366.0	1065.0	365.0
Rhodosporidiobolus_odoratus	166	569.0	695.0	1031.0		1065.0	434.0
Sporobolomyces_longiusculus	166	576.0					
Glaciozyma_martinii	166	832.0					
Leucosporidium_krtinense	166	559.0					
Sporobolomyces_jilinensis	166	894.0	695.0	1031.0	1746.0	957.0	431.0
Rhodotorula_pacifica	165		695.0	1031.0	1610.0	1065.0	431.0
Yunzhangia_sonckii	166	591.0	695.0	1031.0	1626.0	1065.0	395.0
Reniforma_strues	166	591.0	695.0	828.0	1609.0	1067.0	431.0
Pseudobensingtonia_fusiformis	166		695.0	1046.0	1797.0	1107.0	434.0
Yunzhangia_auriculariae	166	894.0	698.0	1031.0	1610.0	1068.0	395.0
Spencerozyma_crocea	166	576.0	695.0	986.0	1618.0	1065.0	406.0
Rhodosporidiobolus_lusitaniae	166	591.0	695.0	1031.0			428.0
[Rhodotorula]_futronensis	166	558.0	695.0	1031.0	1592.0	696.0	
Leucosporidium_scottii	166	591.0	698.0	1031.0	1706.0	1011.0	428.0
Hamamotoa_singularis	166		695.0	645.0	1772.0	1065.0	428.0
Leucosporidium_drummii	166	576.0					
Curvibasidium_cygneicollum	166	591.0	695.0			1065.0	431.0
Rhodotorula_kratochvilovae	166	591.0	613.0	1031.0		244.0	377.0
Rhodosporidiobolus_microsporus	166	591.0	665.0	1031.0	1797.0	996.0	431.0
Leucosporidium_muscorum	166	591.0	665.0	990.0	1784.0	330.0	
Heitmania_elacocarpi	166	558.0		1009.0	1622.0		
Camptobasidium_gelus	166	591.0					
Rhodosporidiobolus_fuzhouensis	166		662.0	1031.0	1797.0	1107.0	361.0
Chrysozyma_rhododendri	166		695.0	1013.0	1797.0	1107.0	419.0
Heitmania_tridentata	166		698.0	1104.0	1797.0	1011.0	434.0
Bannozyma_yamatoana	166	868.0					
Microbotryum_violaceum	166	594.0					
Curvibasidium_pallidicorallinum	166	573.0	695.0	986.0		1020.0	428.0
Sporobolomyces_japonicus	166	674.0	693.0	938.0	1797.0	1050.0	414.0
Rhodosporidiobolus_fluvialis	166	591.0	695.0	1031.0		696.0	428.0
