Genus,Species,Gap_count
Heitmania,castanopsis,78464
Microbotryozyma,swertiae,12042
Pseudohyphozyma,hydrangeae,73432
Chrysozyma,iridis,12131
Bannozyma,arctica,20571
Yunzhangia,sonckii,22427
Colacogloea,foliorum,12746
Bensingtonia,pseudorectispora,10320
Oberwinklerozyma,nepetae,5763
Rhodotorula,sphaerocarpa,7759
Leucosporidium,golubevii,20905
Ruinenia,fanjingshanensis,10588
Phenoliferia,psychrophila,14091
Heitmania,tridentata,12292
Sampaiozyma,ingeniosa,21068
Yunzhangia,auriculariae,22344
Rhodotorula,frigidialcoholis,7175
Chrysozyma,pseudogriseoflava,17961
Chrysozyma,sorbariae,12006
Microbotryum,silenes-saxifragae,15998
Leucosporidium,escuderoi,7751
Heitmania,cylindrica,12267
Rhodosporidiobolus,oreadorum,7752
Leucosporidium,muscorum,19079
Rhodotorula,alborubescens,20668
Rhodotorula,graminis,13069
Pycnopulvinus,aurantiacus,7774
Rhodosporidiobolus,colostri,12387
Rhodosporidiobolus,poonsookiae,19905
Sporobolomyces,primogenomicus,4523
Microbotryum,liroi,7738
Leucosporidium,fellii,20327
Rhodosporidiobolus,jianfalingensis,12328
Pseudohyphozyma,pustula,12447
Rhodotorula,mucilaginosa,7754
Leucosporidium,intermedium,20370
Leucosporidium,creatinivorum,12046
Hamamotoa,lignophila,18778
Rhodosporidiobolus,ruineniae,21661
Rhodosporidiobolus,nylandii,21750
Chrysozyma,fusiformis,12048
Slooffia,tsugae,27737
Chrysozyma,cylindrica,11954
Sporobolomyces,roseus,15433
Rhodotorula,pacifica,12874
Colacogloea,cycloclastica,12322
Trigonosporomyces,hylophilus,7775
Phenoliferia,psychrophenolica,12589
Sporidiobolus,salmonicolor,41616
Phenoliferia,glacialis,13070
Rhodosporidiobolus,microsporus,12424
Colacogloea,eucalyptica,20582
Novel,sp.,3336
Pseudohyphozyma,lulangensis,18747
Rhodotorula,crocea,7290
Sporobolomyces,ruberrimus,22796
Rosettozyma,petaloides,12888
Camptobasidium,arcticum,6418
Sporobolomyces,jilinensis,28972
Sporobolomyces,carnicolor,12288
Heitmania,elacocarpi,14856
[Rhodotorula],nothofagi,16035
Sporobolomyces,patagonicus,12639
Leucosporidium,fasciculatum,5373
Curvibasidium,cygneicollum,13737
Pseudobensingtonia,fusiformis,20206
Sampaiozyma,vanillica,7767
Colacogloea,hydrangeae,13730
[Rhodotorula],futronensis,7733
Sporobolomyces,salmoneus,12814
Microbotryum,arcticum,15994
Ustilentyloma,graminis,13168
Hamamotoa,singularis,13203
Rhodosporidiobolus,fluvialis,12686
Meniscomyces,layueensis,7509
Rhodosporidiobolus,lusitaniae,13611
Ruinenia,bangxiensis,18650
Meredithblackwellia,eburnea,24299
Leucosporidium,krtinense,7692
Colacogloea,aletridis,12466
Rhodotorula,araucariae,12976
Fellozyma,inositophila,21134
Udeniozyma,ferulica,7732
Pseudosterigmatospora,motuoensis,2014
Rhodosporidiobolus,fuzhouensis,12236
Sporobolomyces,blumeae,13317
Yurkovia,longicylindrica,11757
Chrysozyma,fushanensis,12312
Sporobolomyces,reniformis,12100
Hamamotoa,cerberi,7745
Yurkovia,nerthusi,7729
Colacogloea,philyla,25655
Rhodotorula,taiwanensis,12490
Slooffia,pilati,4883
Crittendenia,coppinsii,7413
Bannozyma,yamatoana,15999
Heitmania,litseae,49946
Rhodotorula,nothofagi,5439
Leucosporidium,scottii,28652
Rhodotorula,diobovata,12318
Pseudohyphozyma,bogoriensis,12785
Yamadamyces,rosulatus,12774
Rhodotorula,hordea,14383
Sporidiobolus,pararoseus,15439
Rhodotorula,dairenensis,13798
Sporobolomyces,ellipsoideus,12123
Colacogloea,subericola,7728
Chrysozyma,rhododendri,4378
Microbotryum,alpinum,7712
Spencerozyma,crocea,13671
Cryolevonia,schafbergensis,7764
Microbotryozyma,collariae,7707
Oberwinklerozyma,silvestris,12625
Oberwinklerozyma,yarrowii,7732
Colacogloea,falcata,20480
Leucosporidium,fragarium,18959
Rhodosporidiobolus,platycladi,12590
Sporobolomyces,japonicus,12389
Rosettozyma,motuoensis,13383
Chrysozyma,sambuci,18654
Colacogloea,terpenoidalis,12175
Oberwinklerozyma,straminea,12241
Sporobolomyces,longiusculus,7759
Slooffia,globosa,3905
Colacogloea,retinophila,12242
Sporobolomyces,bannaensis,21327
Ruinenia,sp.,6316
Yurkovia,mendeliana,7699
Rhodotorula,evergladensis,14327
Chrysozyma,griseoflava,19855
Microbotryum,adenopetalae,15989
Rhodotorula,ngohengohe,7756
Slooffia,cresolica,7769
Bensingtonia,wuzhishanensis,5290
Psychromyces,glacialis,6509
Sporobolomyces,beijingensis,20475
Rhodosporidiobolus,odoratus,7755
Leucosporidium,yakuticum,14887
Chrysozyma,flava,11976
Reniforma,strues,13015
Microbotryum,violaceum,7718
Curvibasidium,pallidicorallinum,5031
Glaciozyma,litoralis,7701
Sporidiobolus,metaroseus,12198
Rhodotorula,kratochvilovae,7762
Colacogloea,rhododendri,12006
Pseudoleucosporidium,fasciculatum,7747
Sporobolomyces,koalae,20660
Camptobasidium,gelus,16023
Yamadamyces,terricola,4316
Vonarxula,javanica,12978
Leucosporidium,drummii,7760
Sporobolomyces,cellobiolyticus,12747
Sporobolomyces,phaffii,28831
Rhodotorula,subericola,6739
Rhodotorula,futronensis,5740
Sterigmatospora,layueensis,1845
Pseudohyphozyma,buffonii,7726
Rhodosporidiobolus,azoricus,12194
Glaciozyma,watsonii,7055
Rosettozyma,cystopteridis,12627
Sporobolomyces,johnsonii,23107
Bensingtonia,sp.,7146
Oberwinklerozyma,dicranopteridis,13547
Microbotryum,polycnemoides,7695
Hamamotoa,telluris,7723
Rhodotorula,paludigena,7759
Glaciozyma,martinii,7750
Sporobolomyces,lactucae,7424
Ruinenia,lunata,7090
Rhodotorula,toruloides,7745
Glaciozyma,antarctica,7722
Rhodotorula,glutinis,7762
Slooffia,pilatii,7727
Sporobolomyces,musae,7758
Rhodotorula,babjevae,7761
Libkindia,masarykiana,7736
Colacogloea,diffluens,7762
