Protein_ID,Localizations,Signals,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome
FUN_000001-T1,Mitochondrion,Mitochondrial transit peptide,0.2298000007867813,0.2475000023841858,0.08209999650716782,0.06729999929666519,0.9326000213623047,0.0689999982714653,0.038100000470876694,0.02979999966919422,0.025599999353289604,0.06260000169277191
FUN_000002-T1,Nucleus,Nuclear localization signal,0.30559998750686646,0.9273999929428101,0.06279999762773514,0.008999999612569809,0.08100000023841858,0.021900000050663948,0.030899999663233757,0.014700000174343586,0.028699999675154686,0.003800000064074993
FUN_000003-T1,Mitochondrion,,0.43470001220703125,0.13570000231266022,0.3443000018596649,0.13179999589920044,0.49050000309944153,0.48750001192092896,0.13750000298023224,0.15469999611377716,0.059700001031160355,0.36390000581741333
FUN_000004-T1,Lysosome/Vacuole,Signal peptide,0.21220000088214874,0.2721000015735626,0.21649999916553497,0.2493000030517578,0.20160000026226044,0.01590000092983246,0.3028999865055084,0.3111000061035156,0.25519999861717224,0.006099999882280827
FUN_000005-T1,Cytoplasm|Nucleus,,0.5784000158309937,0.531000018119812,0.2079000025987625,0.10649999976158142,0.3801000118255615,0.0210999995470047,0.3231000006198883,0.15690000355243683,0.14219999313354492,0.12690000236034393
FUN_000006-T1,Cytoplasm,,0.5501999855041504,0.4546999931335449,0.007400000002235174,0.051100000739097595,0.4413999915122986,0.23260000348091125,0.2176000028848648,0.09430000185966492,0.02669999934732914,0.2782000005245209
FUN_000007-T1,Cytoplasm|Nucleus,Nuclear localization signal,0.5184000134468079,0.7745000123977661,0.11140000075101852,0.04349999874830246,0.1703999936580658,0.01209999993443489,0.042500000447034836,0.04899999871850014,0.04809999838471413,0.012400000356137753
FUN_000008-T1,Nucleus,Nuclear localization signal,0.2897000014781952,0.9204000234603882,0.05609999969601631,0.012400000356137753,0.16699999570846558,0.03099999949336052,0.016699999570846558,0.0340999998152256,0.038600001484155655,0.004600000102072954
FUN_000009-T1,Nucleus,Nuclear localization signal,0.2777999937534332,0.9563999772071838,0.09589999914169312,0.011800000444054604,0.09830000251531601,0.003700000001117587,0.02239999920129776,0.01979999989271164,0.010700000450015068,0.0044999998062849045
FUN_000010-T1,Cytoplasm,,0.4918999969959259,0.46140000224113464,0.12319999933242798,0.06970000267028809,0.23980000615119934,0.13809999823570251,0.04230000078678131,0.1468999981880188,0.2272000014781952,0.02590000070631504
FUN_000011-T1,Cytoplasm,,0.6227999925613403,0.3199000060558319,0.06270000338554382,0.2362000048160553,0.1445000022649765,0.0010000000474974513,0.1111999973654747,0.5401999950408936,0.2632000148296356,0.030500000342726707
FUN_000012-T1,Nucleus,Nuclear localization signal,0.164000004529953,0.9376999735832214,0.04129999876022339,0.03229999914765358,0.07660000026226044,0.050599999725818634,0.014600000344216824,0.010499999858438969,0.0333000011742115,0.0010999999940395355
FUN_000013-T1,Mitochondrion,Mitochondrial transit peptide,0.05889999866485596,0.11299999803304672,0.01679999940097332,0.06830000132322311,0.9380000233650208,0.07159999758005142,0.059700001031160355,0.051600001752376556,0.11249999701976776,0.011599999852478504
FUN_000014-T1,Mitochondrion,Mitochondrial transit peptide,0.24660000205039978,0.2134000062942505,0.03840000182390213,0.11060000211000443,0.9520999789237976,0.048900000751018524,0.08839999884366989,0.060499999672174454,0.07919999957084656,0.04390000179409981
FUN_000015-T1,Nucleus,Nuclear localization signal,0.3490999937057495,0.9210000038146973,0.027400000020861626,0.05590000003576279,0.044599998742341995,0.00039999998989515007,0.09889999777078629,0.03920000046491623,0.013299999758601189,0.003100000089034438
FUN_000016-T1,Nucleus,Nuclear localization signal,0.2378000020980835,0.8644999861717224,0.08370000123977661,0.010599999688565731,0.18979999423027039,0.0024999999441206455,0.09969999641180038,0.016499999910593033,0.025699999183416367,0.003000000026077032
FUN_000017-T1,Cytoplasm|Nucleus,Nuclear localization signal|Nuclear export signal,0.5454000234603882,0.5918999910354614,0.005400000140070915,0.1046999990940094,0.25839999318122864,0.0012000000569969416,0.13040000200271606,0.061500001698732376,0.120899997651577,0.0006000000284984708
FUN_000018-T1,Mitochondrion,Mitochondrial transit peptide,0.14390000700950623,0.12870000302791595,0.03229999914765358,0.08129999786615372,0.9656999707221985,0.04769999906420708,0.03869999945163727,0.05139999836683273,0.08009999990463257,0.022700000554323196
FUN_000019-T1,Peroxisome,Peroxisomal targeting signal,0.2053000032901764,0.2906999886035919,0.17679999768733978,0.05350000038743019,0.34630000591278076,0.014000000432133675,0.43630000948905945,0.41130000352859497,0.09920000284910202,0.7117000222206116
FUN_000020-T1,Endoplasmic reticulum,Signal peptide|Transmembrane domain,0.19280000030994415,0.23810000717639923,0.16419999301433563,0.22779999673366547,0.3634999990463257,0.06750000268220901,0.885200023651123,0.48420000076293945,0.3702000081539154,0.050999999046325684
FUN_000021-T1,Cytoplasm|Lysosome/Vacuole,Nuclear export signal,0.6620000004768372,0.3357999920845032,0.013199999928474426,0.12690000236034393,0.314300000667572,0.005799999926239252,0.2623000144958496,0.6414999961853027,0.5318999886512756,0.1655000001192093
FUN_000022-T1,Cytoplasm,Peroxisomal targeting signal,0.694599986076355,0.2085999995470047,0.3095000088214874,0.07559999823570251,0.22779999673366547,0.006300000008195639,0.19059999287128448,0.13619999587535858,0.032499998807907104,0.10989999771118164
FUN_000023-T1,Cytoplasm,,0.5242000222206116,0.46860000491142273,0.007199999876320362,0.16779999434947968,0.40139999985694885,0.00039999998989515007,0.15710000693798065,0.4341999888420105,0.19599999487400055,0.019200000911951065
FUN_000024-T1,Cytoplasm,,0.5691999793052673,0.3582000136375427,0.15860000252723694,0.14159999787807465,0.3546999990940094,0.04259999841451645,0.3379000127315521,0.33809998631477356,0.25060001015663147,0.0754999965429306
FUN_000025-T1,Cytoplasm,Nuclear localization signal,0.678600013256073,0.5044999718666077,0.06700000166893005,0.13670000433921814,0.11580000072717667,0.006800000090152025,0.061400000005960464,0.06419999897480011,0.047200001776218414,0.007499999832361937
FUN_000026-T1,Lysosome/Vacuole,Transmembrane domain,0.21789999306201935,0.18799999356269836,0.03139999881386757,0.30709999799728394,0.25200000405311584,0.021900000050663948,0.3598000109195709,0.7005000114440918,0.6258000135421753,0.08869999647140503
FUN_000027-T1,Extracellular,Signal peptide,0.08709999918937683,0.07000000029802322,0.9438999891281128,0.11140000075101852,0.05350000038743019,0.009200000204145908,0.1006999984383583,0.16130000352859497,0.11159999668598175,0.005400000140070915
FUN_000028-T1,Nucleus,Nuclear localization signal,0.10180000215768814,0.9230999946594238,0.03840000182390213,0.041600000113248825,0.07559999823570251,0.007899999618530273,0.015799999237060547,0.006800000090152025,0.008500000461935997,0.007600000128149986
FUN_000029-T1,Cytoplasm|Nucleus,,0.598800003528595,0.5878999829292297,0.06800000369548798,0.0706000030040741,0.47380000352859497,0.021299999207258224,0.1973000019788742,0.10109999775886536,0.08940000087022781,0.022099999710917473
FUN_000030-T1,Cell membrane,Transmembrane domain,0.1120000034570694,0.3488999903202057,0.043299999088048935,0.3741999864578247,0.2502000033855438,0.007499999832361937,0.24639999866485596,0.1446000039577484,0.25209999084472656,0.008100000210106373
