# target name                       accession  query name            accession  hmmfrom hmm to alifrom  ali to envfrom  env to  sq len strand   E-value  score  bias  description of target
#               ------------------- ----------  -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
NODE_4_length_600302_cov_17.865002  -          yeast_seqs.RPB2.mafft -                7    1621   69845   68140   69851   68139  600302    -           0 1470.4   4.9  -
NODE_23_length_247579_cov_17.178601 -          yeast_seqs.RPB2.mafft -             1140    1621   99955  100497   99935  100498  247579    +     5.6e-37  126.3   1.6  -
NODE_5_length_579142_cov_17.814679  -          yeast_seqs.RPB2.mafft -             1194    1480  468896  469176  468891  469197  579142    +     4.2e-12   43.8  10.1  -
NODE_23_length_247579_cov_17.178601 -          yeast_seqs.RPB2.mafft -              488     570   99353   99435   99350   99438  247579    +     2.1e-11   41.4   4.2  -
NODE_23_length_247579_cov_17.178601 -          yeast_seqs.RPB2.mafft -              818    1002   99692   99906   99672   99913  247579    +     0.00027   17.9   4.5  -
NODE_23_length_247579_cov_17.178601 -          yeast_seqs.RPB2.mafft -               23     129   98814   98920   98794   98931  247579    +      0.0029   14.5   2.6  -
NODE_27_length_224849_cov_16.778420 -          yeast_seqs.RPB2.mafft -              903    1006  187830  187735  187853  187678  224849    -        0.82    6.3   6.1  -
NODE_23_length_247579_cov_17.178601 -          yeast_seqs.RPB2.mafft -               92     334   98952   99202   98932   99222  247579    +         5.2    3.7   5.2  -
#
# Program:         nhmmer
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      ../data/phylo/hmms/RPB2.hmm
# Target file:     ../data/assembly/JL221/scaffolds.fasta
# Option settings: nhmmer --tblout ../data/phylo/phylo_loci_JL221/RPB2_hmm.out --cpu 24 ../data/phylo/hmms/RPB2.hmm ../data/assembly/JL221/scaffolds.fasta 
# Current dir:     /mnt/c/Users/julia/Dropbox (Duke Bio_Ea)/He Lab/Julian_Liber/Yeast_genomes/scripts
# Date:            Tue Aug 16 14:12:43 2022
# [ok]
