# NetGPI 1.1	Timestamp: 20221020032742
# ID	Seq-length	Pred. GPI-Anchored	Omega-site pos.	Likelihood	Amino-acid
FUN_000031-T1	551	Not GPI-Anchored	-	0.993	*
FUN_004430-T1	249	Not GPI-Anchored	-	0.991	*
FUN_004558-T1	708	Not GPI-Anchored	-	0.996	*
FUN_004545-T1	704	Not GPI-Anchored	-	0.992	*
FUN_004541-T1	337	Not GPI-Anchored	-	0.993	*
FUN_004518-T1	396	GPI-Anchored	373	0.370	S
FUN_004497-T1	231	Not GPI-Anchored	-	0.969	*
FUN_004468-T1	590	Not GPI-Anchored	-	0.996	*
FUN_004413-T1	504	Not GPI-Anchored	-	0.992	*
FUN_004566-T1	335	Not GPI-Anchored	-	0.995	*
FUN_004369-T1	615	Not GPI-Anchored	-	0.862	*
FUN_004251-T1	175	Not GPI-Anchored	-	0.995	*
FUN_004248-T1	283	Not GPI-Anchored	-	0.975	*
FUN_004234-T1	596	Not GPI-Anchored	-	0.987	*
FUN_004230-T1	117	Not GPI-Anchored	-	0.993	*
FUN_004227-T1	308	Not GPI-Anchored	-	0.995	*
FUN_004564-T1	836	Not GPI-Anchored	-	0.993	*
FUN_004567-T1	317	Not GPI-Anchored	-	0.975	*
FUN_004217-T1	493	Not GPI-Anchored	-	0.993	*
FUN_004726-T1	808	Not GPI-Anchored	-	0.806	*
FUN_004803-T1	840	Not GPI-Anchored	-	0.991	*
FUN_004802-T1	412	GPI-Anchored	385	0.742	G
FUN_004797-T1	688	Not GPI-Anchored	-	0.990	*
FUN_004791-T1	678	Not GPI-Anchored	-	0.994	*
FUN_004749-T1	163	Not GPI-Anchored	-	0.987	*
FUN_004744-T1	474	Not GPI-Anchored	-	0.982	*
FUN_004724-T1	383	Not GPI-Anchored	-	0.994	*
FUN_004568-T1	260	GPI-Anchored	235	0.764	S
FUN_004700-T1	265	Not GPI-Anchored	-	0.994	*
FUN_004699-T1	265	Not GPI-Anchored	-	0.994	*
FUN_004636-T1	383	Not GPI-Anchored	-	0.989	*
FUN_004631-T1	366	Not GPI-Anchored	-	0.994	*
FUN_004622-T1	657	Not GPI-Anchored	-	0.990	*
FUN_004591-T1	228	Not GPI-Anchored	-	0.995	*
FUN_004222-T1	298	Not GPI-Anchored	-	0.987	*
FUN_004181-T1	321	Not GPI-Anchored	-	0.996	*
FUN_004930-T1	395	Not GPI-Anchored	-	0.995	*
FUN_003273-T1	608	Not GPI-Anchored	-	0.982	*
FUN_003487-T1	391	Not GPI-Anchored	-	0.994	*
FUN_003469-T1	456	Not GPI-Anchored	-	0.994	*
FUN_003362-T1	233	Not GPI-Anchored	-	0.930	*
FUN_003300-T1	347	Not GPI-Anchored	-	0.992	*
FUN_003281-T1	399	Not GPI-Anchored	-	0.991	*
FUN_003280-T1	315	Not GPI-Anchored	-	0.992	*
FUN_003254-T1	258	Not GPI-Anchored	-	0.996	*
FUN_003549-T1	293	Not GPI-Anchored	-	0.991	*
FUN_003231-T1	256	Not GPI-Anchored	-	0.990	*
FUN_003230-T1	371	Not GPI-Anchored	-	0.994	*
FUN_003222-T1	672	Not GPI-Anchored	-	0.991	*
FUN_003209-T1	428	GPI-Anchored	405	0.638	S
FUN_003198-T1	688	Not GPI-Anchored	-	0.995	*
FUN_003181-T1	693	Not GPI-Anchored	-	0.990	*
FUN_003488-T1	313	Not GPI-Anchored	-	0.988	*
FUN_003596-T1	281	GPI-Anchored	260	0.716	S
FUN_004180-T1	586	Not GPI-Anchored	-	0.987	*
FUN_003865-T1	127	Not GPI-Anchored	-	0.995	*
FUN_004099-T1	188	Not GPI-Anchored	-	0.990	*
FUN_004045-T1	187	Not GPI-Anchored	-	0.990	*
FUN_004017-T1	211	Not GPI-Anchored	-	0.969	*
