# Identifier	Cytoplasmic effector	Apoplastic effector	Non-effector	Prediction
FUN_000027-T1 FUN_000027	Y (0.711)	-	-	Cytoplasmic effector
FUN_000044-T1 FUN_000044	-	-	Y (0.914)	Non-effector
FUN_000056-T1 FUN_000056	-	-	Y (0.885)	Non-effector
FUN_000093-T1 FUN_000093	-	-	Y (0.931)	Non-effector
FUN_000096-T1 FUN_000096	-	Y (0.771)	-	Apoplastic effector
FUN_000135-T1 FUN_000135	-	Y (0.817)	-	Apoplastic effector
FUN_000186-T1 FUN_000186	-	-	Y (0.625)	Non-effector
FUN_000233-T1 FUN_000233	-	-	Y (0.508)	Non-effector
FUN_000281-T1 FUN_000281	-	-	Y (0.675)	Non-effector
FUN_000284-T1 FUN_000284	-	-	Y (0.927)	Non-effector
FUN_000288-T1 FUN_000288	-	-	Y (0.848)	Non-effector
FUN_000368-T1 FUN_000368	-	-	Y (0.924)	Non-effector
FUN_000371-T1 FUN_000371	-	-	Y (0.794)	Non-effector
FUN_000393-T1 FUN_000393	-	Y (0.503)	-	Apoplastic effector
FUN_000394-T1 FUN_000394	-	Y (0.67)	-	Apoplastic effector
FUN_000395-T1 FUN_000395	-	-	Y (0.506)	Non-effector
FUN_000405-T1 FUN_000405	-	-	Y (0.795)	Non-effector
FUN_000420-T1 FUN_000420	Y (0.541)	-	-	Cytoplasmic effector
FUN_000451-T1 FUN_000451	-	-	Y (0.521)	Non-effector
FUN_000478-T1 FUN_000478	-	-	Y (0.654)	Non-effector
FUN_000483-T1 FUN_000483	-	Y (0.71)	-	Apoplastic effector
FUN_000499-T1 FUN_000499	-	-	Y (0.828)	Non-effector
FUN_000521-T1 FUN_000521	Y (0.633)	-	-	Cytoplasmic effector
FUN_000534-T1 FUN_000534	-	-	Y (0.858)	Non-effector
FUN_000542-T1 FUN_000542	-	-	Y (0.927)	Non-effector
FUN_000546-T1 FUN_000546	-	-	Y (0.991)	Non-effector
FUN_000580-T1 FUN_000580	-	-	Y (0.867)	Non-effector
FUN_000582-T1 FUN_000582	Y (0.79)	-	-	Cytoplasmic effector
FUN_000593-T1 FUN_000593	-	-	Y (0.988)	Non-effector
FUN_000596-T1 FUN_000596	-	-	Y (0.786)	Non-effector
FUN_000646-T1 FUN_000646	-	Y (0.917)	-	Apoplastic effector
FUN_000662-T1 FUN_000662	-	Y (0.93)	-	Apoplastic effector
FUN_000708-T1 FUN_000708	-	-	Y (0.537)	Non-effector
FUN_000746-T1 FUN_000746	-	-	Y (0.662)	Non-effector
FUN_000782-T1 FUN_000782	-	-	Y (0.696)	Non-effector
FUN_000787-T1 FUN_000787	-	-	Y (0.929)	Non-effector
FUN_000788-T1 FUN_000788	-	Y (0.673)	-	Apoplastic effector
FUN_000814-T1 FUN_000814	-	-	Y (0.808)	Non-effector
FUN_000830-T1 FUN_000830	-	-	Y (0.735)	Non-effector
FUN_000856-T1 FUN_000856	-	-	Y (0.992)	Non-effector
FUN_000901-T1 FUN_000901	-	-	Y (0.96)	Non-effector
FUN_000912-T1 FUN_000912	-	-	Y (0.73)	Non-effector
FUN_000913-T1 FUN_000913	-	-	Y (0.616)	Non-effector
FUN_000987-T1 FUN_000987	-	-	Y (0.928)	Non-effector
FUN_000994-T1 FUN_000994	-	-	Y (0.69)	Non-effector
FUN_001006-T1 FUN_001006	-	-	Y (0.835)	Non-effector
FUN_001023-T1 FUN_001023	-	-	Y (0.792)	Non-effector
FUN_001029-T1 FUN_001029	-	-	Y (0.789)	Non-effector
FUN_001039-T1 FUN_001039	-	-	Y (0.978)	Non-effector
FUN_001063-T1 FUN_001063	-	-	Y (0.987)	Non-effector
FUN_001100-T1 FUN_001100	-	-	Y (0.541)	Non-effector
FUN_001104-T1 FUN_001104	-	-	Y (0.772)	Non-effector
FUN_001118-T1 FUN_001118	Y (0.66)	-	-	Cytoplasmic effector
FUN_001160-T1 FUN_001160	-	-	Y (0.831)	Non-effector
FUN_001195-T1 FUN_001195	-	-	Y (0.536)	Non-effector
FUN_001299-T1 FUN_001299	-	-	Y (0.812)	Non-effector
FUN_001316-T1 FUN_001316	-	-	Y (0.773)	Non-effector
FUN_001365-T1 FUN_001365	-	-	Y (0.749)	Non-effector
FUN_001366-T1 FUN_001366	-	-	Y (0.936)	Non-effector
FUN_001394-T1 FUN_001394	-	-	Y (0.546)	Non-effector
FUN_001410-T1 FUN_001410	-	Y (0.519)	-	Apoplastic effector
FUN_001413-T1 FUN_001413	-	-	Y (0.729)	Non-effector
FUN_001420-T1 FUN_001420	-	-	Y (0.636)	Non-effector
FUN_001455-T1 FUN_001455	-	-	Y (0.894)	Non-effector
FUN_001482-T1 FUN_001482	-	-	Y (0.74)	Non-effector
FUN_001498-T1 FUN_001498	-	-	Y (0.809)	Non-effector
FUN_001505-T1 FUN_001505	Y (0.89)	-	-	Cytoplasmic effector
FUN_001523-T1 FUN_001523	-	-	Y (0.814)	Non-effector
FUN_001559-T1 FUN_001559	-	-	Y (0.771)	Non-effector
FUN_001608-T1 FUN_001608	Y (0.625)	Y (0.544)	-	Cytoplasmic/apoplastic effector
FUN_001628-T1 FUN_001628	-	-	Y (0.595)	Non-effector
FUN_001657-T1 FUN_001657	-	-	Y (0.962)	Non-effector
FUN_001689-T1 FUN_001689	-	-	Y (0.987)	Non-effector
FUN_001696-T1 FUN_001696	-	-	Y (0.98)	Non-effector
FUN_001702-T1 FUN_001702	-	Y (0.749)	-	Apoplastic effector
FUN_001746-T1 FUN_001746	-	-	Y (0.661)	Non-effector
FUN_001750-T1 FUN_001750	-	-	Y (0.757)	Non-effector
FUN_001755-T1 FUN_001755	Y (0.763)	-	-	Cytoplasmic effector
FUN_001786-T1 FUN_001786	-	-	Y (0.718)	Non-effector
FUN_001850-T1 FUN_001850	-	Y (0.53)	-	Apoplastic effector
FUN_001853-T1 FUN_001853	-	-	Y (0.662)	Non-effector
FUN_001856-T1 FUN_001856	-	-	Y (0.7)	Non-effector
FUN_001909-T1 FUN_001909	Y (0.686)	-	-	Cytoplasmic effector
FUN_001916-T1 FUN_001916	-	-	Y (0.549)	Non-effector
FUN_001925-T1 FUN_001925	Y (0.504)	-	-	Cytoplasmic effector
FUN_001938-T1 FUN_001938	-	-	Y (0.828)	Non-effector
FUN_001972-T1 FUN_001972	-	-	Y (0.559)	Non-effector
FUN_001990-T1 FUN_001990	-	-	Y (0.953)	Non-effector
FUN_002009-T1 FUN_002009	-	-	Y (0.766)	Non-effector
FUN_002066-T1 FUN_002066	Y (0.655)	-	-	Cytoplasmic effector
FUN_002119-T1 FUN_002119	-	-	Y (0.796)	Non-effector
FUN_002153-T1 FUN_002153	-	-	Y (0.748)	Non-effector
FUN_002176-T1 FUN_002176	-	Y (0.667)	-	Apoplastic effector
FUN_002178-T1 FUN_002178	-	-	Y (0.804)	Non-effector
FUN_002200-T1 FUN_002200	-	Y (0.554)	-	Apoplastic effector
FUN_002238-T1 FUN_002238	-	Y (0.739)	-	Apoplastic effector
FUN_002256-T1 FUN_002256	-	-	Y (0.886)	Non-effector
FUN_002263-T1 FUN_002263	-	-	Y (0.836)	Non-effector
FUN_002286-T1 FUN_002286	-	-	Y (0.856)	Non-effector
FUN_002315-T1 FUN_002315	-	-	Y (0.786)	Non-effector
FUN_002316-T1 FUN_002316	-	-	Y (0.692)	Non-effector
FUN_002319-T1 FUN_002319	-	Y (0.607)	-	Apoplastic effector
FUN_002342-T1 FUN_002342	-	-	Y (0.834)	Non-effector
FUN_002345-T1 FUN_002345	-	-	Y (0.644)	Non-effector
FUN_002349-T1 FUN_002349	-	-	Y (0.64)	Non-effector
FUN_002371-T1 FUN_002371	Y (0.699)	-	-	Cytoplasmic effector
FUN_002404-T1 FUN_002404	-	-	Y (0.782)	Non-effector
FUN_002467-T1 FUN_002467	-	-	Y (0.89)	Non-effector
FUN_002510-T1 FUN_002510	-	-	Y (0.861)	Non-effector
FUN_002527-T1 FUN_002527	Y (0.692)	-	-	Cytoplasmic effector
FUN_002534-T1 FUN_002534	-	Y (0.542)	-	Apoplastic effector
FUN_002537-T1 FUN_002537	-	-	Y (0.844)	Non-effector
FUN_002543-T1 FUN_002543	-	-	Y (0.946)	Non-effector
FUN_002564-T1 FUN_002564	-	-	Y (0.564)	Non-effector
FUN_002570-T1 FUN_002570	Y (0.669)	-	-	Cytoplasmic effector
FUN_002579-T1 FUN_002579	-	-	Y (0.784)	Non-effector
FUN_002621-T1 FUN_002621	-	Y (0.794)	-	Apoplastic effector
FUN_002643-T1 FUN_002643	-	-	Y (0.962)	Non-effector
FUN_002670-T1 FUN_002670	-	-	Y (0.822)	Non-effector
FUN_002707-T1 FUN_002707	Y (0.779)	-	-	Cytoplasmic effector
FUN_002708-T1 FUN_002708	-	-	Y (0.676)	Non-effector
FUN_002714-T1 FUN_002714	Y (0.836)	-	-	Cytoplasmic effector
FUN_002715-T1 FUN_002715	-	-	Y (0.882)	Non-effector
FUN_002792-T1 FUN_002792	-	-	Y (0.977)	Non-effector
FUN_002809-T1 FUN_002809	-	-	Y (0.814)	Non-effector
FUN_002810-T1 FUN_002810	-	-	Y (0.785)	Non-effector
FUN_002816-T1 FUN_002816	-	-	Y (0.826)	Non-effector
FUN_002839-T1 FUN_002839	-	-	Y (0.808)	Non-effector
FUN_002859-T1 FUN_002859	-	Y (0.735)	-	Apoplastic effector
FUN_002874-T1 FUN_002874	Y (0.768)	-	-	Cytoplasmic effector
FUN_002879-T1 FUN_002879	Y (0.534)	-	-	Cytoplasmic effector
FUN_002893-T1 FUN_002893	-	-	Y (0.642)	Non-effector
FUN_002918-T1 FUN_002918	Y (0.544)	-	-	Cytoplasmic effector
FUN_002925-T1 FUN_002925	-	-	Y (0.723)	Non-effector
FUN_002931-T1 FUN_002931	-	-	Y (0.826)	Non-effector
FUN_002942-T1 FUN_002942	-	Y (0.653)	-	Apoplastic effector
FUN_002976-T1 FUN_002976	-	-	Y (0.584)	Non-effector
FUN_002977-T1 FUN_002977	-	-	Y (0.856)	Non-effector
FUN_002979-T1 FUN_002979	-	-	Y (0.895)	Non-effector
FUN_003039-T1 FUN_003039	-	-	Y (0.864)	Non-effector
FUN_003057-T1 FUN_003057	-	-	Y (0.657)	Non-effector
FUN_003064-T1 FUN_003064	-	-	Y (0.987)	Non-effector
