ID	TM	SP	Prediction
FUN_003158-T1	0	0	o
FUN_000992-T1	0	0	o
FUN_005998-T1	10	0	i82-100o120-142i154-187o207-228i249-275o295-317i338-360o366-388i409-432o452-471i
FUN_001259-T1	0	0	o
FUN_004895-T1	0	0	o
FUN_000726-T1	2	0	i20-39o51-71i
FUN_001341-T1	1	0	i12-30o
FUN_005175-T1	0	0	o
FUN_001154-T1	0	0	o
FUN_001876-T1	0	0	o
FUN_006151-T1	1	0	i63-92o
FUN_003107-T1	0	0	o
FUN_002058-T1	0	0	o
FUN_002874-T1	0	Y	n7-18c26/27o
FUN_003634-T1	11	0	o12-33i54-76o96-121i142-160o166-187i208-230o242-260i272-291o311-329i438-457o494-518i
FUN_000746-T1	0	Y	n5-17c22/23o
FUN_001622-T1	0	0	o
FUN_005073-T1	0	0	o
FUN_003207-T1	0	0	o
FUN_000273-T1	0	0	o
FUN_003959-T1	1	0	i160-179o
FUN_005254-T1	1	0	i152-172o
FUN_000176-T1	0	0	o
FUN_004081-T1	1	0	o51-72i
FUN_004301-T1	1	0	i151-176o
FUN_000230-T1	0	0	o
FUN_001352-T1	0	0	o
FUN_003948-T1	12	0	i103-124o144-162i174-193o199-221i233-257o263-283i328-351o357-380i387-412o418-444i451-471o491-511i
FUN_003896-T1	3	0	i136-159o232-257i300-321o
FUN_005156-T1	6	0	i295-314o320-342i373-392o442-466i487-510o522-546i
FUN_000581-T1	0	0	o
FUN_005713-T1	7	0	o18-42i63-85o105-123i135-163o183-201i222-244o260-278i
FUN_005374-T1	0	0	o
FUN_003462-T1	0	0	o
FUN_005129-T1	0	Y	n12-22c27/28o
FUN_001218-T1	0	0	o
FUN_002081-T1	3	0	i238-261o273-295i427-450o
FUN_005698-T1	1	0	o31-48i
FUN_003503-T1	10	0	i92-111o123-141i153-173o189-209i221-240o272-291i303-324o336-358i379-405o417-438i
FUN_001769-T1	0	0	o
FUN_002963-T1	0	0	o
FUN_004515-T1	0	0	o
FUN_003148-T1	0	0	o
FUN_003205-T1	0	Y	n4-15c20/21o
FUN_005024-T1	0	0	o
FUN_001762-T1	0	0	o
FUN_006265-T1	0	0	o
FUN_005329-T1	0	0	o
FUN_001013-T1	0	0	o
FUN_004222-T1	0	0	o
FUN_003093-T1	0	0	o
FUN_002407-T1	0	0	o
FUN_003782-T1	0	0	o
FUN_002680-T1	0	0	o
FUN_003659-T1	0	0	o
FUN_000191-T1	0	0	o
FUN_000650-T1	1	0	o449-469i
FUN_005268-T1	11	0	i250-266o272-294i306-328o334-356i376-393o413-432i536-556o576-597i609-632o638-659i666-686o
FUN_002311-T1	0	0	o
FUN_003097-T1	1	0	i64-81o
FUN_000275-T1	0	0	o
FUN_004521-T1	5	0	i14-33o53-75i96-114o177-196i304-323o
FUN_002884-T1	0	0	o
FUN_000511-T1	0	0	o
FUN_006259-T1	0	0	o
FUN_006215-T1	0	0	o
FUN_000287-T1	0	0	o
FUN_002095-T1	0	0	o
FUN_004538-T1	1	0	o1589-1610i
FUN_006586-T1	1	0	o20-41i
FUN_005443-T1	1	Y	n10-21c25/26o41-62i
FUN_002447-T1	0	0	o
FUN_001612-T1	0	0	o
FUN_001298-T1	0	0	o
FUN_001882-T1	0	0	o
FUN_006291-T1	0	0	o
FUN_002050-T1	0	0	o
FUN_004243-T1	0	0	o
FUN_005356-T1	0	0	o
FUN_001428-T1	1	0	o56-74i
FUN_001927-T1	0	0	o
FUN_002512-T1	0	0	o
FUN_005472-T1	0	0	o
FUN_000851-T1	0	0	o
FUN_004105-T1	0	0	o
FUN_000391-T1	0	0	o
FUN_003824-T1	0	0	o
FUN_002611-T1	0	0	o
FUN_002564-T1	0	Y	n5-16c28/29o
FUN_000634-T1	0	0	o
FUN_006254-T1	0	0	o
FUN_001373-T1	1	0	i37-55o
FUN_002867-T1	12	0	i45-66o72-92i130-149o155-173i185-207o227-247i268-285o323-344i364-386o392-416i436-457o469-488i
FUN_004854-T1	0	0	o
FUN_003306-T1	0	0	o
FUN_001407-T1	0	0	o
FUN_001011-T1	1	0	i7-32o
FUN_001491-T1	0	0	o
FUN_005797-T1	0	0	o
FUN_005330-T1	1	0	i111-129o
FUN_004040-T1	0	0	o
FUN_000315-T1	4	0	i223-245o630-652i673-700o712-730i
FUN_003814-T1	0	0	o
FUN_004539-T1	1	0	o635-656i
FUN_003691-T1	10	0	o12-33i94-114o153-172i184-205o217-237i249-272o313-330i339-360o366-388i472-494o
FUN_003568-T1	0	0	o
FUN_002716-T1	0	0	o
FUN_005312-T1	0	0	o
FUN_000392-T1	0	0	o
FUN_000266-T1	0	0	o
FUN_001616-T1	0	0	o
FUN_001151-T1	0	0	o
FUN_005668-T1	0	0	o
FUN_005734-T1	0	0	o
FUN_005106-T1	0	0	o
FUN_003796-T1	0	0	o
FUN_004966-T1	0	0	o
FUN_004846-T1	1	0	o6-22i
FUN_002152-T1	1	0	i202-224o
FUN_002464-T1	0	0	o
FUN_003058-T1	0	0	o
FUN_004717-T1	0	0	o
FUN_005919-T1	0	0	o
FUN_002822-T1	0	0	o
FUN_001667-T1	0	0	o
FUN_002076-T1	0	0	o
FUN_001380-T1	0	0	o
FUN_000587-T1	0	0	o
FUN_001136-T1	0	0	o
FUN_005308-T1	4	0	i93-111o131-149i209-227o233-254i
FUN_006007-T1	0	0	o
FUN_002606-T1	2	0	i185-203o209-236i
FUN_000636-T1	0	0	o
FUN_001398-T1	0	0	o
FUN_000542-T1	2	Y	n6-17c25/26o1799-1818i1839-1865o
FUN_002545-T1	0	0	o
FUN_003954-T1	0	0	o
FUN_001293-T1	2	0	i38-56o62-82i
FUN_001458-T1	0	0	o
FUN_002318-T1	0	0	o
FUN_002594-T1	0	0	o
FUN_005282-T1	0	0	o
FUN_005033-T1	0	0	o
FUN_004199-T1	0	0	o
FUN_000897-T1	0	0	o
FUN_004761-T1	0	0	o
FUN_000463-T1	0	0	o
FUN_005220-T1	0	0	o
FUN_001300-T1	0	Y	n4-15c23/24o
FUN_002108-T1	0	0	o
FUN_001579-T1	0	0	o
FUN_002864-T1	0	Y	n33-48c53/54o
FUN_002406-T1	0	0	o
FUN_003999-T1	0	0	o
FUN_002744-T1	0	0	o
FUN_000979-T1	0	0	o
FUN_006294-T1	0	0	o
FUN_000143-T1	0	0	o
FUN_003890-T1	0	0	i
FUN_005821-T1	0	0	o
FUN_006462-T1	12	0	i54-72o92-114i121-139o145-168i180-205o217-236i288-314o326-348i355-375o387-407i419-440o452-471i
FUN_005871-T1	0	0	o
FUN_001415-T1	0	0	i
FUN_000535-T1	3	0	i9-29o35-52i179-201o
FUN_004551-T1	0	0	o
FUN_005591-T1	0	0	o
FUN_006223-T1	0	0	o
FUN_003359-T1	0	0	o
FUN_002950-T1	0	0	o
FUN_000335-T1	11	0	i125-147o153-172i203-228o263-290i302-323o329-350i362-384o396-416i428-452o464-486i498-522o
FUN_005828-T1	10	0	o159-186i218-239o259-280i301-321o385-410i453-477o497-514i576-593o613-633i675-697o
FUN_003886-T1	0	0	o
FUN_005634-T1	0	0	o
FUN_001494-T1	0	0	o
FUN_006228-T1	0	0	o
FUN_006198-T1	0	0	o
FUN_001645-T1	0	0	o
FUN_003372-T1	0	0	o
FUN_002873-T1	0	0	o
FUN_005511-T1	3	0	o15-33i93-113o152-173i
FUN_004996-T1	0	0	o
FUN_002503-T1	0	0	o
FUN_002104-T1	0	0	o
FUN_004624-T1	12	0	i39-67o87-107i119-138o144-162i174-195o207-227i277-301o313-333i340-360o372-391i403-424o436-457i
FUN_002472-T1	0	0	o
FUN_003653-T1	0	0	o
FUN_005208-T1	0	0	o
FUN_002238-T1	0	Y	n5-15c20/21o
FUN_003387-T1	1	0	o473-490i
FUN_004557-T1	0	0	o
FUN_006486-T1	0	0	o
FUN_001203-T1	0	0	o
FUN_006553-T1	10	0	i37-55o75-93i105-121o194-212i285-310o330-355i376-394o400-427i447-465o471-489i
FUN_004932-T1	0	0	o
FUN_003905-T1	0	0	o
FUN_001337-T1	9	0	i106-125o131-152i172-195o201-222i229-248o254-272i284-305o325-351i358-390o
FUN_002324-T1	0	0	o
FUN_004873-T1	0	0	o
FUN_005854-T1	0	0	o
FUN_000283-T1	0	0	o
FUN_006242-T1	0	0	o
FUN_001249-T1	0	0	o
FUN_001797-T1	0	0	o
FUN_001744-T1	0	0	o
FUN_005832-T1	0	0	o
FUN_005368-T1	1	0	o46-65i
FUN_005014-T1	0	Y	n6-17c21/22o
FUN_005173-T1	0	0	o
FUN_004712-T1	0	0	o
FUN_001426-T1	0	0	o
FUN_006630-T1	0	0	o
FUN_003422-T1	0	0	o
FUN_000468-T1	0	0	o
FUN_006404-T1	0	0	o
FUN_001232-T1	2	0	o43-64i71-90o
FUN_004555-T1	6	0	o30-49i112-130o150-174i186-205o211-233i245-264o
FUN_002130-T1	0	Y	n2-13c25/26o
FUN_002840-T1	0	0	o
FUN_005109-T1	0	0	o
FUN_000729-T1	0	0	o
FUN_002328-T1	0	0	o
FUN_000121-T1	1	0	i372-394o
FUN_005292-T1	12	0	i515-536o548-579i600-620o648-671i692-710o730-753i774-791o797-819i831-851o871-899i911-934o954-977i
FUN_003750-T1	0	0	o
FUN_002448-T1	7	0	o61-84i105-128o143-166i178-202o265-286i367-386o398-422i
FUN_000154-T1	4	0	i12-32o52-74i86-106o126-149i
FUN_004332-T1	0	Y	n4-14c22/23o
FUN_002544-T1	0	0	o
FUN_000617-T1	0	0	o
FUN_004439-T1	15	0	o53-78i577-601o621-641i653-678o684-701i713-730o742-761i782-800o820-840i861-880o909-934i941-957o1053-1077i1098-1119o1139-1156i
FUN_004080-T1	0	0	o
FUN_000446-T1	1	0	i336-357o
FUN_005059-T1	0	0	o
FUN_003614-T1	0	0	o
FUN_004674-T1	0	0	o
FUN_005862-T1	0	0	o
FUN_005372-T1	4	0	i39-63o91-111i118-143o185-209i
FUN_000504-T1	0	0	o
FUN_005838-T1	0	0	o
FUN_000834-T1	1	Y	n8-20c28/29o1636-1654i
FUN_004489-T1	0	0	o
FUN_002432-T1	0	0	o
FUN_006226-T1	0	0	o
FUN_003982-T1	0	0	o
